Song,Key,RMSE,Dynamic Range,Spectral Centroid,Spectral Bandwidth,Tempo
2000 - Amazed - Lonestar.mp3,G#,0.13076556,10.49636345,2721.963653,2621.657732,135.9991776
2000 - Bent - Matchbox Twenty.mp3,C#,0.22517247,7.139235973,2148.739067,2321.705398,95.703125
2000 - Breathe - Faith Hill.mp3,G,0.17256919,17.19670868,2426.484005,2580.236148,135.9991776
2000 - Everything You Want - Vertical Horizon.mp3,D#,0.19982594,10.58900642,2206.975408,2435.783977,95.703125
2000 - He Wasn_t Man Enough - Toni Braxton.mp3,E,0.26076347,10.27007103,3185.178288,3107.71508,172.265625
2000 - I Knew I Loved You - Savage Garden.mp3,A,0.16430949,12.02147293,2201.734911,2664.163575,86.1328125
2000 - I Wanna Know - Joe.mp3,D#,0.14808439,13.43277683,2357.267469,2793.875588,135.9991776
2000 - Maria Maria _feat. The Product G_B_ - Santana.mp3,G,0.098908,17.18346138,1790.438465,2191.997509,99.38401442
2000 - Say My Name - Destiny_s Child.mp3,G#,0.19073059,10.45849314,3115.422406,2874.211474,135.9991776
2000 - Smooth _feat. Rob Thomas_ - Santana.mp3,D#,0.2842842,6.361208916,2188.255014,2435.932896,117.4538352
2001 - Again - Lenny Kravitz.mp3,A,0.20252122,10.06570225,2484.396933,2558.304731,78.30255682
2001 - All For You - Janet Jackson.mp3,E,0.22500384,14.68234119,3349.525297,2903.883058,112.3471467
2001 - Drops of Jupiter _Tell Me_ - Train.mp3,C,0.20145492,10.46644402,2088.485767,2261.36652,161.4990234
2001 - Fallin_ - Alicia Keys.mp3,G,0.08446878,19.66709881,1726.117062,1977.082119,95.703125
2001 - Hanging By A Moment - Lifehouse.mp3,C#,0.25108412,9.20077858,2394.15838,2551.651712,123.046875
2001 - If You_re Gone - Matchbox Twenty.mp3,A,0.21477377,11.2020874,1758.643338,2169.00143,112.3471467
2001 - Independent Women_ Pt. 1 - Destiny_s Child.mp3,C#,0.104660995,21.51823034,2632.463605,2424.479975,99.38401442
2001 - I_m Real _feat. Ja Rule_ - Murder Remix - Jennifer Lopez.mp3,D,0.20054339,17.6537674,2832.14978,2882.788578,83.35433468
2001 - Let Me Blow Ya Mind - Eve.mp3,G#,0.20492479,18.42630243,2710.90706,2639.283597,89.10290948
2001 - Thank You - Dido.mp3,E,0.14431208,17.76520042,2111.788819,2577.334955,161.4990234
2002 - A Thousand Miles - Vanessa Carlton.mp3,F#,0.21389966,10.74664497,2516.554392,2507.143627,95.703125
2002 - Blurry - Puddle Of Mudd.mp3,D#,0.07689979,14.42387676,2587.447556,2565.720811,103.359375
2002 - Dilemma - Nelly.mp3,G,0.19514096,13.95101452,1997.836233,2399.099961,172.265625
2002 - Foolish - Ashanti.mp3,E,0.20245372,17.24489441,2532.29842,2566.88048,89.10290948
2002 - Hot In Herre - Nelly.mp3,E,0.19626544,14.57263021,2773.206761,2586.661852,107.6660156
2002 - How You Remind Me - Nickelback.mp3,A#,0.21279892,11.21310186,2605.395284,2522.915402,172.265625
2002 - In the End - Linkin Park.mp3,D#,0.1428146,17.01278648,2152.558293,2170.958678,103.359375
2002 - U Got It Bad - USHER.mp3,C#,0.16224033,15.4278141,2625.604218,2604.387038,123.046875
2002 - What_s Luv_ _feat. Ja-Rule _ Ashanti_ - Fat Joe.mp3,G#,0.19380285,18.87310829,2882.999559,2789.247344,95.703125
2002 - Wherever You Will Go - The Calling.mp3,D,0.19072308,8.990533161,2711.916415,2784.406378,112.3471467
2003 - Bring Me To Life - Evanescence.mp3,E,0.27136672,12.99820175,2481.726184,2401.44796,129.1992188
2003 - Crazy In Love _feat. Jay-Z_ - Beyoncé.mp3,A#,0.15922585,12.75657082,3115.302938,2760.224972,99.38401442
2003 - Get Busy - Sean Paul.mp3,F,0.2200517,8.870196342,1768.860835,2195.295398,99.38401442
2003 - Ignition - R. Kelly.mp3,A#,0.1737028,15.78835049,2332.973025,2679.638974,66.25600962
2003 - In Da Club - 50 Cent.mp3,D,0.26046145,14.82783508,2280.300173,2234.961989,89.10290948
2003 - Miss You - Aaliyah.mp3,F,0.15599196,17.28495255,2595.787369,2925.361027,107.6660156
2003 - Picture _feat. Sheryl Crow_ - Kid Rock.mp3,G,0.09598049,11.44926186,1584.646183,2116.15437,99.38401442
2003 - Right Thurr - Chingy.mp3,G#,0.22010083,13.70522461,2481.58688,2428.637314,92.28515625
2004 - Burn - USHER.mp3,C#,0.1594664,18.20929089,2927.766568,2718.4594,117.4538352
2004 - Goodies _feat. Petey Pablo_ - Ciara.mp3,F,0.22592065,9.009903622,2629.653395,2780.490172,103.359375
2004 - Hey Ya_ - Outkast.mp3,E,0.30193198,9.066963387,1910.553466,2242.275169,107.6660156
2004 - I Don_t Wanna Know - Mario Winans.mp3,B,0.13443226,21.05205069,2066.582498,2429.400261,95.703125
2004 - If I Ain_t Got You - Alicia Keys.mp3,G,0.14302355,19.06250095,1636.203062,2031.19672,117.4538352
2004 - Lean Back - Terror Squad.mp3,G#,0.22142552,14.03380632,2416.168444,2402.342104,129.1992188
2004 - The Reason - Hoobastank.mp3,E,0.20749642,5.698278427,2397.778201,2553.682945,161.4990234
2004 - The Way You Move _feat. Sleepy Brown_ - Outkast.mp3,C,0.23080622,13.78712025,2459.235092,2616.436455,123.046875
2004 - This Love - Maroon 5.mp3,G,0.25790778,13.44825554,2264.687369,2347.977046,95.703125
2004 - When I_m Gone - 3 Doors Down.mp3,A,0.2586882,8.009300613,2326.07212,2438.114706,143.5546875
2004 - Yeah_ _feat. Lil Jon _ Ludacris_ - USHER.mp3,E,0.25141275,10.7443161,3246.489677,2861.876139,103.359375
2005 - 1_ 2 Step _feat. Missy Elliott_ - Ciara.mp3,G,0.14305781,23.94094095,3190.322127,2886.183385,112.3471467
2005 - Behind These Hazel Eyes - Kelly Clarkson.mp3,E,0.15625384,6.576607513,2762.211354,2719.204637,89.10290948
2005 - Belong Together - Mark Ambor.mp3,D,0.25728565,12.71364613,2135.652877,2526.456658,92.28515625
2005 - Boulevard of Broken Dreams - Green Day.mp3,G#,0.27993354,6.848627663,2346.452929,2374.573196,161.4990234
2005 - Candy Shop - 50 Cent.mp3,F#,0.2379125,19.55283499,2378.276904,2439.869067,99.38401442
2005 - Don_t Cha - The Pussycat Dolls.mp3,E,0.22445534,11.13920383,2896.935437,2860.979997,117.4538352
2005 - Gold Digger - Kanye West.mp3,G,0.15038362,10.11462364,2189.471143,2459.709997,123.046875
2005 - Hollaback Girl - Gwen Stefani.mp3,D#,0.269978,8.333587265,2199.126859,2375.656678,112.3471467
2005 - Let Me Love You - Mario.mp3,C,0.10177445,15.08183603,503.3930727,484.7854739,89.10290948
2005 - Since U Been Gone - Kelly Clarkson.mp3,G,0.23392645,9.670670509,2427.155177,2485.284789,129.1992188
2006 - Bad Day - Daniel Powter.mp3,D,0.10022036,15.89743805,2306.691136,2470.947179,151.9990809
2006 - Check On It _feat. Bun B _ Slim Thug_ - Beyoncé.mp3,G,0.20934314,11.90457935,3217.560856,2874.550285,161.4990234
2006 - Crazy In Love _feat. Jay-Z_ - Beyoncé.mp3,A#,0.15922585,12.75657082,3115.302938,2760.224972,99.38401442
2006 - Hips Don_t Lie _feat. Wyclef Jean_ - Shakira.mp3,A,0.26600397,8.241222,2295.181348,2324.322939,143.5546875
2006 - Promiscuous - Nelly Furtado.mp3,G#,0.20561996,12.1276371,2316.312663,2513.600218,112.3471467
2006 - Ridin_ - Chamillionaire.mp3,G#,0.21924512,12.52288151,2506.68486,2558.351722,95.703125
2006 - SexyBack _feat. Timbaland_ - Justin Timberlake.mp3,G#,0.23949853,18.01789608,2421.183441,2340.654852,117.4538352
2006 - Temperature - Sean Paul.mp3,A#,0.07717271,12.09911652,2680.79934,2580.325674,123.046875
2006 - Unwritten - Natasha Bedingfield.mp3,F,0.18928866,15.15757332,2698.655161,2768.971604,99.38401442
2007 - Before He Cheats - Carrie Underwood.mp3,C#,0.15270619,9.039517403,2725.352075,2738.353828,143.5546875
2007 - Big Girls Don_t Cry _Personal_ - Fergie.mp3,D,0.20318443,13.23457623,2631.497449,2764.377135,112.3471467
2007 - Buy U a Drank _Shawty Snappin__ _feat. Yung Joc_ - T-Pain.mp3,F,0.24525404,14.75916023,2816.134274,2917.202538,161.4990234
2007 - Glamorous - Fergie.mp3,F,0.22065146,13.09019756,2327.399456,2447.486889,129.1992188
2007 - Hey There Delilah - Plain White T_s.mp3,F#,0.24629132,3.39354763,1234.656718,1846.389553,103.359375
2007 - I Wanna Love You - Akon.mp3,G,0.20328826,16.0523551,2196.412189,2762.303037,99.38401442
2007 - Irreplaceable - Beyoncé.mp3,G,0.24907738,13.62337589,3069.274791,2917.737915,117.4538352
2007 - Say It Right - Nelly Furtado.mp3,F,0.21726117,16.61923771,2541.936355,2571.403049,117.4538352
2007 - The Sweet Escape - Gwen Stefani.mp3,F#,0.103135176,12.79042015,3201.199034,2701.008981,117.4538352
2007 - Umbrella - Rihanna.mp3,G,0.2461123,12.27892923,2970.094992,2869.935393,117.4538352
2008 - Apologize - Timbaland.mp3,G#,0.21253498,13.79547582,2212.843555,2371.190919,117.4538352
2008 - Bleeding Love - Leona Lewis.mp3,F,0.1677095,11.3316288,2186.874457,2362.579228,103.359375
2008 - Forever - Chris Brown.mp3,F#,0.27531356,12.00998597,2056.10156,2304.087043,117.4538352
2008 - Lollipop - Lil Wayne.mp3,F,0.17333364,18.64444094,2268.284568,2507.654776,99.38401442
2008 - Love in This Club _feat. Young Jeezy_ - USHER.mp3,E,0.24448477,12.39356575,2500.097279,2601.241776,135.9991776
2008 - Love Song - Sara Bareilles.mp3,A,0.25319648,8.036169815,2626.253888,2574.524067,123.046875
2008 - Low _feat. T-Pain_ - Flo Rida.mp3,D,0.16184983,15.30794153,2339.724079,2521.339831,129.1992188
2008 - No Air _feat. Chris Brown_ - Jordin Sparks.mp3,C#,0.21115555,15.16474552,2942.115151,2888.555607,107.6660156
2008 - No One - Alicia Keys.mp3,G#,0.26005015,14.15110683,1952.889769,2418.42923,89.10290948
2008 - With You - Chris Brown.mp3,G#,0.27066836,9.029780102,2904.554785,2912.825009,112.3471467
2009 - Boom Boom Pow - Black Eyed Peas.mp3,G#,0.2277548,21.58651581,2188.317333,2212.912757,129.1992188
2009 - Gives You Hell - The All-American Rejects.mp3,E,0.1722383,19.58628254,2509.573019,2479.842277,99.38401442
2009 - Heartless - Kanye West.mp3,A#,0.29062864,8.378517151,1565.740579,2043.444999,172.265625
2009 - I Gotta Feeling - Black Eyed Peas.mp3,G,0.19814453,12.48643265,2395.677579,2425.212779,129.1992188
2009 - I_m Yours - Jason Mraz.mp3,F#,0.17218578,14.27778816,1905.785475,2293.710284,151.9990809
2009 - Just Dance - Lady Gaga.mp3,E,0.23187879,11.36585674,2488.772957,2544.152182,117.4538352
2009 - Love Story - Taylor Swift.mp3,A,0.02662195,14.76714211,2457.006992,2534.907431,117.4538352
2009 - Poker Face - Lady Gaga.mp3,G#,0.2576765,10.88787518,2312.115211,2484.705822,117.4538352
2009 - Right Round - Flo Rida.mp3,A,0.25952137,9.612935066,2988.21198,2848.816445,123.046875
2009 - Single Ladies _Put a Ring on It_ - Beyoncé.mp3,C,0.14020364,6.23167038,2532.263386,2421.721364,95.703125
2010 - Airplanes - B.o.B.mp3,E,0.23216677,9.87654829,2358.727743,2341.009589,92.28515625
2010 - Bad Romance - Lady Gaga.mp3,B,0.27436328,7.369711876,2521.053966,2605.378261,117.4538352
2010 - Break Your Heart - Taio Cruz.mp3,A#,0.098352514,10.06629601,2963.084538,2970.377971,123.046875
2010 - California Gurls - Katy Perry.mp3,C,0.25572577,11.21575165,2640.923785,2665.491384,123.046875
2010 - Dynamite - Taio Cruz.mp3,F#,0.21761818,11.11837406,2501.743905,2680.488367,117.4538352
2010 - Hey_ Soul Sister - Train.mp3,E,0.23553707,8.887371254,2427.019481,2573.729291,95.703125
2010 - Love The Way You Lie - Eminem.mp3,A#,0.18925065,10.66508293,2598.077137,2379.418765,117.4538352
2010 - Need You Now - Lady A.mp3,E,0.24416372,8.872252464,2127.505103,2192.214804,107.6660156
2010 - OMG _feat. will.i.am_ - USHER.mp3,F#,0.19018146,11.4862957,2330.201841,2531.679948,129.1992188
2010 - TiK ToK - Kesha.mp3,D,0.297155,7.168984032,2727.888522,2635.78702,117.4538352
2024-APT-ROSE.mp3,G,0.28265113,12.20608821,2707.524314,2692.037144,151.9990809
